0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2.2701,0,0,1.1939,0,0,0,0,2.0819,2.8987,2.6812,1.8644,0,0,0,0
0.16921,0.089857,0.0028995,0.041555,2.3407,0.14485,0.34486,1.3818,0.0099211,0.13179,0.19813,0.051134,2.1518,2.9156,2.6777,1.9067,0.33749,0.48677,0.44763,0.31582
0.16378,0.087717,1.0275,0.036247,2.3296,0.14745,0.34813,1.3167,0.0055316,0.12329,0.18645,0.043687,2.2124,2.9215,2.6578,1.9415,0.3259,0.48018,0.44881,0.3095
0.15614,0.082884,1.1036,0.027798,2.3144,0.1491,0.3488,0.25891,0,0.11128,0.17327,0.033418,2.2669,2.921,2.6319,1.9722,0.3089,0.46965,0.44566,0.30036
0.15713,0.089706,1.1875,0.029468,2.3022,0.15845,0.36088,0.27227,0.00060032,0.11034,0.17158,0.032941,2.329,2.928,2.6159,2.0124,0.30412,0.46819,0.45277,0.30033
0.16032,0.097101,1.2699,0.031462,2.2901,0.17027,0.37577,0.28511,0.0043233,0.10912,0.16994,0.033256,2.3893,2.932,2.5987,2.0528,0.30325,0.46809,0.45946,0.29979
0.153,0.096872,1.3391,0.023939,2.2652,0.17008,0.37789,0.28816,0,0.099402,0.15475,0.02481,2.4362,2.9233,2.57,2.0818,0.29153,0.45617,0.45502,0.28943
0.15522,0.10589,1.416,0.025501,2.2444,0.18009,0.38997,0.29877,0.0015694,0.098854,0.15172,0.025602,2.4906,2.9221,2.5497,2.1203,0.28666,0.45322,0.46094,0.29097
0.15201,0.10517,1.481,0.01962,2.2115,0.18505,0.39284,0.30155,0,0.088558,0.13986,0.088946,2.533,2.9076,2.5204,2.149,0.27544,0.44274,0.45869,0.28295
0.1575,0.11463,1.553,0.022586,2.1893,0.19685,0.40439,0.31511,0.0010983,0.086458,0.1378,0.018912,2.5821,2.9014,2.4995,2.1865,0.26765,0.44067,0.46616,0.28281
0.14947,0.11106,1.6104,0.013832,2.1484,0.19471,0.40457,0.32023,0,0.073138,0.12337,0.0091068,2.6167,2.8807,2.4666,2.2117,0.24991,0.42599,0.46053,0.27351
0.15398,0.11973,1.6776,0.01782,2.1156,0.20416,0.41463,0.3345,0,0.073599,0.12148,0.011067,2.6606,2.8684,2.4441,2.2483,0.25074,0.42481,0.46608,0.27468
